PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
fastener,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,210,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Sensor/trigger interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
architectural load-path role,110L,bilateral longitudinal guidance/load path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,110R,bilateral longitudinal guidance/load path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,130L,ride-down energy-management path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,130R,ride-down energy-management path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,150L,independent seatback rotation-control path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,150R,independent seatback rotation-control path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,170,state-dependent constraint path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,180,reverse-motion control path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
architectural load-path role,190,restraint interface path,definition,V7_DISCLOSURE,V7.0,SOURCE_SUPPORTED,Architecture disclosure,High,Functional architecture,"Structural capacity, actual loads, section properties and joint strength remain undefined.",Engineering definition + FE/test,High,Controlled structural definition
material family,100,,,V7_R5_MATERIAL,V7-RC-005,SUPPLIER_INPUT_REQUIRED,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
exact grade,100,,,V7_R5_MATERIAL,V7-RC-005,SUPPLIER_INPUT_REQUIRED,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
condition,100,,,V7_R5_MATERIAL,V7-RC-005,SUPPLIER_INPUT_REQUIRED,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
thickness,100,,mm,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
density,100,,kg/m3,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
Young modulus,100,,Pa,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
Poisson ratio,100,,dimensionless,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
yield strength,100,,Pa,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
ultimate strength,100,,Pa,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
elongation,100,,%,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
fatigue data,100,,definition,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
strain-rate sensitivity,100,,definition,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
temperature dependence,100,,definition,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
friction coefficient,100,,dimensionless,V7_R5_MATERIAL,V7-RC-005,MISSING,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
certificate,100,,document,V7_R5_MATERIAL,V7-RC-005,SUPPLIER_INPUT_REQUIRED,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
supplier/source,100,,document,V7_R5_MATERIAL,V7-RC-005,SUPPLIER_INPUT_REQUIRED,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
lot/traceability,100,,document,V7_R5_MATERIAL,V7-RC-005,SUPPLIER_INPUT_REQUIRED,MATERIAL_DEFINITION_PENDING,None,Vehicle interface/base frame material definition,Current material register fields are null; no controlled grade/density/strength values are available.,Supplier certification + controlled drawing/material spec,Critical,Controlled material specification/certificate
